id,authors,year,title,venue
44,"Manuel Rodriguez-Martinez, Joseph J�J�, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",2000,MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,SIGMOD Conference
45,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",2000,Fact: A Learning Based Web Query Processing System,SIGMOD Conference
46,"Jim Melton, Andrew Eisenberg",2001,SQL Multimedia and Application Packages (SQL/MM),SIGMOD Record
47,Amit P. Sheth,1996,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,VLDB
48,Per-�ke Larson,2001,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),SIGMOD Conference
49,"Surajit Chaudhuri, Umeshwar Dayal",1997,An Overview of Data Warehousing and OLAP Technology,SIGMOD Record
50,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",1994,Staggered Striping in Multimedia Information Systems,SIGMOD Conference
51,"Mario Gerla, Kaixin Xu",2003,Multimedia streaming in large-scale sensor networks with mobile swarms,SIGMOD Record
52,Hans-Joachim Klein,1994,How to Modify SQL Queries in Order to Guarantee Sure Answers,SIGMOD Record
53,"Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart",1994,Materialization: A Powerful and Ubiquitous Abstraction Pattern,VLDB
54,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",2001,Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,SIGMOD Conference
55,Martin Bertram,1994,Data Modelling in the Large,SIGMOD Record
56,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",2001,Updating XML,SIGMOD Conference
57,"Alan F. Smeaton, Mark Roantree",2002,Research in Information Managment at Dublin City University,SIGMOD Record
58,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",1998,The Multidimensional Database System RasDaMan,SIGMOD Conference
59,"Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir",2001,Analyzing energy behavior of spatial access methods for memory-resident data,VLDB
60,Goetz Graefe,1999,The Value of Merge-Join and Hash-Join in SQL Server,VLDB
61,Andreas Weininger,2002,Efficient execution of joins in a star schema,SIGMOD Conference
62,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",2000,PicoDMBS: Scaling Down Database Techniques for the Smartcard,VLDB
63,"Divesh Srivastava, Olga Kapitskaia, Raymond T. Ng, H. V. Jagadish",1999,Multi-Dimensional Substring Selectivity Estimation,VLDB
64,"Theo H�rder, Joachim Thomas, G�nter Sauter",1999,The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,VLDB J.
65,C. Mohan,1999,A Database Perspective on Lotus Domino/Notes,SIGMOD Conference
66,Rafael Camps,1996,"Domains, Relations and Religious Wars",SIGMOD Record
67,Scott Shenker,2003,The Data-Centric Revolution in Networking,VLDB
68,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",2003,Cache-and-Query for Wide Area Sensor Databases,SIGMOD Conference
69,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",1995,A Cost Model for Clustered Object-Oriented Databases,VLDB
70,"Wilburt Labio, Jun Yang, Hector Garcia-Molina",1998,Expiring Data in a Warehouse,VLDB
71,Xiaolei Qian,1997,Opportunities in Information Management and Assurance,SIGMOD Record
72,"Andr� Eickler, Alfons Kemper, Donald Kossmann",1997,Finding Data in the Neighborhood,VLDB
73,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",2001,PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,SIGMOD Conference
74,Ling Liu,2002,Editor's Notes,SIGMOD Record
75,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",2002,Rainbow: mapping-driven XQuery processing system,SIGMOD Conference
76,"Carol Small, Alexandra Poulovassilis",1996,Algebraic Query Optimisation for Database Programming Languages,VLDB J.
77,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",1995,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,ACM Trans. Database Syst.
78,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",1994,The ORES Temporal Database Management System,SIGMOD Conference
79,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",1996,Magic Conditions,ACM Trans. Database Syst.
80,"Wolfgang Klas, Frank Moser, Achim Kraiss",1995,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,VLDB
81,Peter M. Spiro,1998,"Ubiquitous, Self-tuning, Scalable Servers",SIGMOD Conference
82,Sunita Sarawagi,1999,Explaining Differences in Multidimensional Aggregates,VLDB
83,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",1995,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,VLDB
84,David Vaskevitch,1994,Database in Crisis and Transition: A Technical Agenda for the Year 2001,SIGMOD Conference
85,Amit P. Sheth,1995,"Workflow Automation: Applications, Technology, and Research (Tutorial)",SIGMOD Conference
86,"Krishna Kant, Prasant Mohapatra",2000,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)",SIGMOD Record
87,"Rachel Pottinger, Alon Y. Levy",2000,A Scalable Algorithm for Answering Queries Using Views,VLDB
88,Richard T. Snodgrass,2002,Why I Like Working in Academia,SIGMOD Record
89,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",2001,Efficient and Tunable Similar Set Retrieval,SIGMOD Conference
90,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",2002,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,VLDB
91,"Meichun Hsu, Rivka Ladin, Umeshwar Dayal",2001,"Business Process Coordination: State of the Art, Trends, and Open Issues",VLDB
92,Geoffrey C. Bowker,2000,Work and Information Practices in the Sciences of Biodiversity,VLDB
93,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",1994,Data Modeling of Time-Based Media,SIGMOD Conference
94,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",1995,Space Optimization in Deductive Databases,ACM Trans. Database Syst.
95,Richard T. Snodgrass,2000,Chair's Message,SIGMOD Record
96,Rafael Alonso,1994,Trade Press News - Announcement and Preface,SIGMOD Record
97,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",2001,Improving Index Performance through Prefetching,SIGMOD Conference
98,Xiaolei Qian,1996,New Programs at DARPA and NSF,SIGMOD Record
99,"Alexandra Poulovassilis, Carol Small",1994,Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,VLDB
100,"Lucian Popa, Alin Deutsch, Val Tannen",1999,"Physical Data Independence, Constraints, and Optimization with Universal Plans",VLDB
101,"Daniel S. Weld, Alon Y. Levy, Marc Friedman, Zachary G. Ives, Daniela Florescu",1999,An Adaptive Query Execution System for Data Integration,SIGMOD Conference
102,Pierre-Paul Sondag,2001,The Semantic Web Paving the Way to the Knowledge Society,VLDB
103,"Rakesh Agrawal, John C. Shafer",1997,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,VLDB
104,"Yanlei Diao, Hao Zhang, Peter M. Fischer, Michael J. Franklin, Mehmet Altinel",2003,Path sharing and predicate evaluation for high-performance XML filtering,ACM Trans. Database Syst.
105,"Sumit Ganguly, Minos N. Garofalakis, Rajeev Rastogi",2003,Processing Set Expressions over Continuous Update Streams,SIGMOD Conference
106,Theodore Johnson,1999,Performance Measurements of Compressed Bitmap Indices,VLDB
107,"Chee Yong Chan, Yannis E. Ioannidis",1999,Hierarchical Prefix Cubes for Range-Sum Queries,VLDB
108,"�sa Hagstr�m, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",2003,Removing permissions in the flexible authorization framework,ACM Trans. Database Syst.
109,"Ion Muslea, Greg Barish, Andrew Philpot, Craig A. Knoblock, Steven Minton, Jos� Luis Ambite, Pragnesh Jay Modi, Sheila Tejada, Naveen Ashish",1998,ARIADNE: A System for Constructing Mediators for Internet Sources,SIGMOD Conference
110,"Dimitris Papadias, Nikos Mamoulis",2001,Multiway spatial joins,ACM Trans. Database Syst.
111,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",1996,Implementing Data Cubes Efficiently,SIGMOD Conference
112,"Nelson Mendon�a Mattos, Linda G. DeMichiel",1994,Recent Design Trade-offs in SQL3,SIGMOD Record
113,"Andrew Eisenberg, Jim Melton",1999,SQLJ-Part 1: SQL Routines Using the Java Programming Language,SIGMOD Record
114,"Alberto O. Mendelzon, Davood Rafiei",1997,Similarity-Based Queries for Time Series Data,SIGMOD Conference
115,"Alistair N. Dunlop, Jasmin L. Wason, Denis A. Nicole, Mark Papiani",1999,"A Distributed Scientific Data Archive Using the Web, XML and SQL/MED",SIGMOD Record
116,"Katja Tham, Axel Kilian, Dieter Merkel, Peter Rieger, Stephan Heymann, Gunnar Wegner, Johann Christoph Freytag",2002,Viator - A Tool Family for Graphical Networking and Data View Creation,VLDB
117,H. V. Jagadish,2001,Information Warfare and Security - Book Review,SIGMOD Record
118,Kjetil N�rv�g,1999,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,VLDB
119,"Christos Faloutsos, Alberto Belussi",1995,Estimating the Selectivity of Spatial Queries Using the `Correlation' Fractal Dimension,VLDB
120,"Dennis McLeod, Goksel Aslan",1999,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,VLDB J.
121,"Chim-fu Yeung, Kam-yiu Lam, Sheung-lun Hung",1994,Performance Evaluation of a New Distributed Deadlock Detection Algorithm,SIGMOD Record
122,"Jan-Eike Michels, Jim Melton, Krishna G. Kulkarni, Peter M. Schwarz, Kathy Zeidenstein, Vanja Josifovski",2001,SQL and Management of External Data,SIGMOD Record
123,"Alberto Lerner, Dennis Shasha",2003,"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments",VLDB
124,"Banu �zden, Minos N. Garofalakis, Abraham Silberschatz",1997,Resource Scheduling in Enhanced Pay-Per-View Continuous Media Databases,VLDB
125,"Yixin Ruan, Zhiyong Huang, Kian-Lee Tan, Jason Chionh, Lidan Shou",2001,REVIEW: A Real Time Virtual Walkthrough System,SIGMOD Conference
126,"Norman S. Matloff, Patrick Tendick",1994,A Modified Random Perturbation Method for Database Security,ACM Trans. Database Syst.
127,Dan Suciu,1999,Managing Web Data,SIGMOD Conference
128,Vijay V. Raghavan,1996,Loading the Data Warehouse Across Various Parallel Architectures,VLDB
129,"Qing Li, Kamalakar Karlapalem, Chung-Dak Shum",1995,HODFA: An Architectural Framework for Homogenizing Heterogeneous Legacy Database,SIGMOD Record
130,"Philippe Bonnet, Dennis Shasha",2002,"Database Tuning: Principles, Experiments, and Troubleshooting Techniques",VLDB
131,"Jeffrey F. Naughton, Minos N. Garofalakis, Kenneth A. Ross",2003,Reminiscences an Influential Papers,SIGMOD Record
132,Jian Zhang,1995,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,SIGMOD Record
133,"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",1998,Java and Relational Databases: SQLJ (Tutorial),SIGMOD Conference
134,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",2002,Covering indexes for branching path queries,SIGMOD Conference
135,"Wen-Syan Li, Chris Clifton",1995,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,SIGMOD Conference
136,"Alexandros Labrinidis, Alberto O. Mendelzon",2001,Career-Enhancing Services at SIGMOD Online,SIGMOD Record
137,"Krithi Ramamritham, Jayant R. Haritsa, Ramesh Gupta",1997,Revisiting Commit Processing in Distributed Database Systems,SIGMOD Conference
138,Suad Alagic,1999,Type-Checking OQL Queries In the ODMG Type Systems,ACM Trans. Database Syst.
139,Rob Golding,1995,Things Every Update Replication Customer Should Know,SIGMOD Conference
140,Bj�rn ��r J�nsson,2003,In Memory of G�sli R. Hjaltason,SIGMOD Record
141,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",1994,Query Optimization by Predicate Move-Around,VLDB
142,"Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez",1998,Catching the Boat with Strudel: Experiences with a Web-Site Management System,SIGMOD Conference
143,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",2001,Adaptable Query Optimization and Evaluation in Temporal Middleware,SIGMOD Conference
144,"Raghu Ramakrishnan, Miron Livny, Tian Zhang",1996,BIRCH: An Efficient Data Clustering Method for Very Large Databases,SIGMOD Conference
145,"Dimitris Papadias, Yufei Tao",2002,Time-parameterized queries in spatio-temporal databases,SIGMOD Conference
146,"Eui-Hong Han, Vipin Kumar, George Karypis",1997,Scalable Parallel Data Mining for Association Rules,SIGMOD Conference
147,"Jennifer Widom, Elena Baralis",2000,An algebraic approach to static analysis of active database rules,ACM Trans. Database Syst.
148,"Sorana Rabinovici, John Catozzi",1995,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,VLDB
149,"Yannis Kotidis, Yannis Sismanis, Antonios Deligiannakis, Nick Roussopoulos",2002,Dwarf: shrinking the PetaCube,SIGMOD Conference
150,"Dao-I Lin, Peter Piatko, Roman Yangarber, Dennis Shasha",1996,Thinksheet: A Tool for Tailoring Complex Documents,SIGMOD Conference
151,"Betty Salzberg, Chendong Zou",1996,On-line Reorganization of Sparsely-populated B+trees,SIGMOD Conference
152,Andreas Weininger,2000,Handling Very Large Databases with Informix Extended Parallel Server,SIGMOD Conference
153,"Surajit Chaudhuri, Kyuseok Shim",1994,Including Group-By in Query Optimization,VLDB
154,"Azer Bestavros, Spyridon Braoudakis",1995,Value-cognizant Speculative Concurrency Control,VLDB
155,James Geller,2002,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,SIGMOD Record
156,"Dan Suciu, Maurizio Lenzerini, Daniele Nardi, Werner Nutt",2001,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),SIGMOD Record
157,"Hector Garcia-Molina, Luis Gravano, Kevin Chen-Chuan Chang, Andreas Paepcke",1997,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),SIGMOD Conference
158,"Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim",1996,The X-tree : An Index Structure for High-Dimensional Data,VLDB
159,"Rohit Ananthakrishna, Venkatesh Ganti, Surajit Chaudhuri",2002,Eliminating Fuzzy Duplicates in Data Warehouses,VLDB
160,"Michael J. Franklin, Surajit Chaudhuri, Alejandro P. Buchmann, Gerhard Weikum, Daniel A. Keim, Martin L. Kersten",2003,A Database Striptease or How to Manage Your Personal Databases,VLDB
161,"Yildiray Kabak, Gokce Laleci, Sait Pektas, Serkan Toprak, Yusuf Tambag, Gokhan Kurt, Asuman Dogac, Pinar Pembecioglu",2002,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,SIGMOD Conference
162,Michael H. B�hlen,1995,Temporal Database System Implementations,SIGMOD Record
163,"Yaron Kanza, Yehoshua Sagiv, Sara Cohen, Jonathan Mamou",2003,XSEarch: A Semantic Search Engine for XML,VLDB
164,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",1995,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,VLDB
165,"Hans-J�rg Schek, Gustavo Alonso, Heiko Schuldt, Catriel Beeri",2002,Atomicity and isolation for transactional processes,ACM Trans. Database Syst.
166,"David B. Lomet, Mark R. Tuttle",1999,Logical Logging to Extend Recovery to New Domains,SIGMOD Conference
167,"Jacek Skowronek, Maurice van Keulen, Jan Flokstra",1994,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,SIGMOD Conference
168,"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein",1997,Online Aggregation,SIGMOD Conference
169,"Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook",1996,"Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases",SIGMOD Conference
170,Ted Mihalisin,1998,A Single Pass Computing Engine for Interactive Analysis of VLDBs,VLDB
171,"Zenon Protopapas, Christos Faloutsos, Eliot Siegel, Flip Korn, Nikolaos Sidiropoulos",1996,Fast Nearest Neighbor Search in Medical Image Databases,VLDB
172,"Amit P. Sheth, Wolfgang Klas",1994,Metadata for Digital Media: Introduction to the Special Issue,SIGMOD Record
173,Hugh Darwen,1996,"In Reply to Domains, relations and Religious Wars",SIGMOD Record
174,"Mark Jahnke, Felipe Cari�o",1998,Bank of America Case Study: The Information Currency Advantage,VLDB
175,"Divesh Srivastava, SungRan Cho, Laks V. S. Lakshmanan, Sihem Amer-Yahia",2002,Tree pattern query minimization,VLDB J.
176,"Michael J. Carey, Markos Zaharioudakis, Michael J. Franklin",1994,Fine-Grained Sharing in a Page Server OODBMS,SIGMOD Conference
177,"Timothy J. Norman, Nicholas R. Jennings, Peyman Faratin",1998,ADEPT: An Agent-Based Approach to Business Process Management,SIGMOD Record
178,Alexandros Labrinidis,2001,Introduction to the Career Forum Column,SIGMOD Record
179,"Kheng Guan Goh, Wynne Hsu, Mong-Li Lee",2000,Image Mining in IRIS: Integrated Retinal Information System,SIGMOD Conference
180,Wesley P. Melling,1994,Enterprise Information Architectures -- They're Finally Changing,SIGMOD Conference
181,Nelson Mendon�a Mattos,2003,Integrating Information for On Demand Computing,VLDB
182,"Anne Doucet, V�ronique Benzaken",1995,Th�mis: A Database Programming Language Handling Integrity Constraints,VLDB J.
183,"Kotagiri Ramamohanarao, James Harland",1994,An Introduction to Deductive Database Languages and Systems,VLDB J.
184,Suryanarayana M. Sripada,2002,Information Management Challenges from the Aerospace Industry,VLDB
185,C. Mohan,1996,State of the Art in Workflow Management Research and Products,SIGMOD Conference
186,"Amit P. Sheth, Kshitij Shah, Clemens Bertram",1999,VideoAnywhere: A System for Searching and Managing Distributed Video Assets,SIGMOD Record
187,"Roger S. Barga, David B. Lomet",2002,Phoenix Project: Fault-Tolerant Applications,SIGMOD Record
188,"Michalis Vazirgiannis, Yannis Batistakis, Maria Halkidi",2002,Cluster Validity Methods: Part I,SIGMOD Record
189,William L. Gettys,1995,DIRECTV and Oracle Rdb: The Challenges of VLDB Transaction Processing,SIGMOD Conference
190,"Bharat K. Bhargava, Aidong Zhang, Marian H. Nodine, Omran A. Bukhres",1994,Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems,SIGMOD Conference
191,"Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson",1998,"Replication, Consistency, and Practicality: Are These Mutually Exclusive?",SIGMOD Conference
192,"Hans-Arno Jacobsen, Haifeng Liu",2002,A-TOPSS - A Publish/Subscribe System Supporting Approximate Matching,VLDB
193,"Marco Patella, Paolo Ciaccia",2002,Searching in metric spaces with user-defined and approximate distances,ACM Trans. Database Syst.
194,"Leonid Libkin, Inderpal Singh Mumick, Latha S. Colby, Howard Trickey, Timothy Griffin",1996,Algorithms for Deferred View Maintenance,SIGMOD Conference
195,"Stavros Christodoulakis, Nikos Pappas",2000,Design and Development of a Stream Service in a Heterogenous Client Environment,VLDB
196,"Wai Fu Fung, David Sun, Johannes Gehrke",2002,COUGAR: the network is the database,SIGMOD Conference
197,"David Maier, Peter Buneman",1995,The Data That You Won't Find in Databases: Tutorial panel on data exchange formats,SIGMOD Conference
198,"Christian S. Jensen, Kristian Torp, Richard T. Snodgrass",2000,Effective Timestamping in Databases,VLDB J.
199,"Dan Suciu, Yana Kadiyska, Wang Chiew Tan, Mary F. Fernandez, Atsuyuki Morishima",2002,SilkRoute: A framework for publishing relational data in XML,ACM Trans. Database Syst.
200,"Dimitris Papadias, Jimeng Sun, Yufei Tao",2003,The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries,VLDB
201,Jennifer Widom,1996,Editor's Notes,SIGMOD Record
202,"Yannis Velegrakis, Lucian Popa, Ren�e J. Miller",2003,Mapping Adaptation under Evolving Schemas,VLDB
203,"Gang Qian, Qiang Xue, Sakti Pramanik, Qiang Zhu",2003,The ND-Tree: A Dynamic Indexing Technique for Multidimensional Non-ordered Discrete Data Spaces,VLDB
204,Arvola Chan,1998,Transactional Publish / Subscribe: The Proactive Multicast of Database Changes,SIGMOD Conference
205,"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",2001,Exploiting Constraint-Like Data Characterizations in Query Optimization,SIGMOD Conference
206,"Sema Mancuhan, Ismailcem Budak Arpinar, Fatma Ozcan, Pinar Koksal, Asuman Dogac, G�khan �zhan, Cevdet Dengi, Ugur Halici, Cem Evrendilek, Sena Nural, Ebru Kilic",1996,METU Interoperable Database System,SIGMOD Conference
207,"A. A. Diwan, S. Sudarshan, Sanjeeva Rane, S. Seshadri",1996,Clustering Techniques for Minimizing External Path Length,VLDB
208,Warren Sterling,1998,The National Medical Knowledge Bank,VLDB
209,"Vijay Atluri, Anupam Joshi, Yelena Yesha",2003,Guest editorial,VLDB J.
210,"Amihai Motro, Troels Andreasen",2003,Report on FQAS 2002: fifth international conference on flexible query answering systems,SIGMOD Record
211,"Philip S. Yu, Charu C. Aggarwal",2002,An Automated System for Web Portal Personalization,VLDB
212,"Fran�oise Fabret, Dennis Shasha, Hans-Arno Jacobsen, Fran�ois Llirbat, Jo�o Pereira",2001,WebFilter: A High-throughput XML-based Publish and Subscribe System,VLDB
213,"Denis Gouin, Henry Kucera, Christian Larouche, Gilles Clement, Paul Morin",1997,OGDI: Toward Interoperability among Geospatial Databases,SIGMOD Record
