id,authors,year,title,venue
25,"Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",1999,"PowerBookmarks: a system for personalizable Web information organization, sharing, and management",International Conference on Management of Data
26,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",1999,The Aqua approximate query answering system,International Conference on Management of Data
27,"Tong Zhou, Ling Liu, Calton Pu",1999,TAM: a system for dynamic transactional activity management,International Conference on Management of Data
28,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",1999,Exploratory mining via constrained frequent set queries,International Conference on Management of Data
29,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",1999,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,International Conference on Management of Data
30,"Roger Barga, David B. Lomet",1999,Phoenix: making applications robust,International Conference on Management of Data
31,"Brad Adelberg, Matthew Denny",1999,Nodose version 2.0,International Conference on Management of Data
32,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",1999,Bringing object-relational technology to the mainstream,International Conference on Management of Data
33,Paul Brown,1999,Implementing the spirit of SQL-99,International Conference on Management of Data
34,Dan Suciu,1999,Managing Web data,International Conference on Management of Data
35,"M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",1999,"O-O, what's happening to DB2?",International Conference on Management of Data
36,Soumen Chakrabarti,1999,Hypertext databases and data mining,International Conference on Management of Data
37,"Alexander Hinneburg, Daniel A. Keim",1999,Clustering methods for large databases: from the past to the future,International Conference on Management of Data
38,Dirk D&#252;llmann,1999,Petabyte databases,International Conference on Management of Data
39,C. Mohan,1999,A database perspective on Lotus Domino/Notes,International Conference on Management of Data
40,Bassel Ojjeh,1999,Microsoft site server (commerce ed.): Talk-slides available at the conference,International Conference on Management of Data
41,Anand Rajaraman,1999,E-commerce database issues and experience: (talk-slides available at at the conference),International Conference on Management of Data
42,Brad Hammond,1999,Merge replication in Microsoft's SQL server 7.0,International Conference on Management of Data
43,CORPORATE TimesTen Team,1999,In-memory data management for consumer transactions the timesten approach,International Conference on Management of Data
44,Walt Kohler,1999,EMC information sharing: direct access to MVS data from UNIX and NT,International Conference on Management of Data
45,Rick Greer,1999,Daytona and the foruth-generation language cymbal,International Conference on Management of Data
46,"J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar",1999,DataBlitz storage manager: main-memory database performance for critical applications,International Conference on Management of Data
47,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",1999,Indexing medium-dimensionality data in Oracle,International Conference on Management of Data
48,"Alin Deutsch, Mary Fernandez, Dan Suciu",1999,Storing semistructured data with STORED,International Conference on Management of Data
49,Daniel A. Keim,1999,Efficient geometry-based similarity search of 3D spatial databases,International Conference on Management of Data
50,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",1999,A new method for similarity indexing of market basket data,International Conference on Management of Data
51,"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",1999,WALRUS: a similarity retrieval algorithm for image databases,International Conference on Management of Data
52,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",1999,Shrinking the warehouse update Window,International Conference on Management of Data
53,"Yannis Kotidis, Nick Roussopoulos",1999,DynaMat: a dynamic view management system for data warehouses,International Conference on Management of Data
54,"Kevin Beyer, Raghu Ramakrishnan",1999,Bottom-up computation of sparse and Iceberg CUBE,International Conference on Management of Data
55,"Tobias Mayr, Praveen Seshadri",1999,Client-site query extensions,International Conference on Management of Data
56,M. Tamer &#214;zsu,1999,Data management issues in electronic commerce,International Conference on Management of Data
57,"Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",1999,"Of crawlers, portals, mice, and men: is there more to mining the Web?",International Conference on Management of Data
58,Praveen Seshadri,1999,"Honey, I shrunk the database: footprint, mobility, and beyond",International Conference on Management of Data
59,"Hasan Davulcu, Juliana Freire, Michael Kifer, I. V. Ramakrishnan",1999,A layered architecture for querying dynamic Web content,International Conference on Management of Data
60,"Jamie Callan, Margaret Connell, Aiqun Du",1999,Automatic discovery of language models for text databases,International Conference on Management of Data
61,"D. W. Embley, Y. Jiang, Y.-K. Ng",1999,Record-boundary discovery in Web documents,International Conference on Management of Data
62,"Yannis Papakonstantinou, Vasilis Vassalos",1999,Query rewriting for semistructured data,International Conference on Management of Data
63,"Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",1999,Computing capabilities of mediators,International Conference on Management of Data
64,David B. Lomet,2000,High speed on-line backup when using logical log operations,International Conference on Management of Data
65,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",2000,Efficient resumption of interrupted warehouse loads,International Conference on Management of Data
66,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",2000,On-line reorganization in object databases,International Conference on Management of Data
67,"Charu C. Aggarwal, Philip S. Yu",2000,Finding generalized projected clusters in high dimensional spaces,International Conference on Management of Data
68,"Christopher R. Palmer, Christos Faloutsos",2000,Density biased sampling: an improved method for data mining and clustering,International Conference on Management of Data
69,"Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246;rg Sander",2000,LOF: identifying density-based local outliers,International Conference on Management of Data
70,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",2000,Answering complex SQL queries using automatic summary tables,International Conference on Management of Data
71,"Junghoo Cho, Hector Garcia-Molina",2000,Synchronizing a database to improve freshness,International Conference on Management of Data
72,"Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane",2000,How to roll a join: asynchronous incremental view maintenance,International Conference on Management of Data
73,"Vassilis Christophides, Sophie Cluet, J&#233;r&#466;me Sim&#232;on",2000,On wrapping query languages and efficient XML integration,International Conference on Management of Data
74,"Hartmut Liefke, Dan Suciu",2000,XMill: an efficient compressor for XML data,International Conference on Management of Data
75,"Minos Garofalakis, Aristides Gionis, Rajeev Rastogi, S. Seshadri, Kyuseok Shim",2000,XTRACT: a system for extracting document type descriptors from XML documents,International Conference on Management of Data
76,"Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr.",2000,Spatial join selectivity using power laws,International Conference on Management of Data
77,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos",2000,MOCHA: a self-extensible database middleware system for distributed data sources,International Conference on Management of Data
78,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",2000,Closest pair queries in spatial databases,International Conference on Management of Data
79,"Flip Korn, S. Muthukrishnan",2000,Influence sets based on reverse nearest neighbor queries,International Conference on Management of Data
80,"Krishnamurty Muralidhar, Rathindra Sarathy",1999,Security of random data perturbation methods,ACM Transactions on Database Systems (TODS)
81,"Debabrata Dey, Veda C. Storey, Terence M. Barron",1999,Improving database design through the analysis of relationships,ACM Transactions on Database Systems (TODS)
82,"Tak W. Yan, Hector Garcia-Molina",1999,The SIFT information dissemination system,ACM Transactions on Database Systems (TODS)
83,"Yair Wand, Veda C. Storey, Ron Weber",1999,An ontological analysis of the relationship construct in conceptual modeling,ACM Transactions on Database Systems (TODS)
84,"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",1999,Chorochronos: a research network for spatiotemporal database systems,ACM SIGMOD Record
85,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",1999,Engineering federated information systems: report of EEFIS '99 workshop,ACM SIGMOD Record
86,"Arnon Rosenthal, Edward Sciore",1999,First-class views: a key to user-centered computing,ACM SIGMOD Record
87,"Jihad Boulos, Kinji Ono",1999,Cost estimation of user-defined methods in object-relational database systems,ACM SIGMOD Record
88,"Prabhu Ram, Lyman Do, Pamela Drew",1999,Distributed transactions in practice,ACM SIGMOD Record
89,"Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si",1999,On mutli-resolution document transmission in mobile Web,ACM SIGMOD Record
90,"Ruxandra Domenig, Klaus R. Dittrich",1999,An overview and classification of mediated query systems,ACM SIGMOD Record
91,"Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",1999,"A distributed scientific data archive using the Web, XML and SQL/MED",ACM SIGMOD Record
92,"Jiawei Han, Jian Pei, Yiwen Yin",2000,Mining frequent patterns without candidate generation,International Conference on Management of Data
93,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",1999,Database research at the University of Oklahoma,ACM SIGMOD Record
94,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",2000,Turbo-charging vertical mining of large databases,International Conference on Management of Data
95,"Erik Riedel, Christos Faloutsos, Gregory R. Ganger, David F. Nagle",2000,Data mining on an OLTP system (nearly) for free,International Conference on Management of Data
96,"Joseph Kuan, Paul Lewis",1999,A study on data point search for HG-trees,ACM SIGMOD Record
97,"Mark Roantree, John Murphy, Wilhelm Hasselbring",1999,The OASIS multidatabase prototype,ACM SIGMOD Record
98,"M&#225;rcio Farias de Souza, Marcus Costa Sampaio",1999,Efficient materialization and use of views in data warehouses,ACM SIGMOD Record
99,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",1999,Design principles for data-intensive Web sites,ACM SIGMOD Record
100,"Andrew Eisenberg, Jim Melton",1999,"SQL: 1999, formerly known as SQL3",ACM SIGMOD Record
101,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",1999,Broadcast protocols to support efficient retrieval from databases by mobile users,ACM Transactions on Database Systems (TODS)
102,"Amit Sheth, Clemens Bertram, Kshitij Shah",1999,Video anywhere: a system for searching and managing distributed heterogeneous video assets,ACM SIGMOD Record
103,"Mike Carey, Len Seligman",1999,NSF workshop on industrial/academic cooperation in database systems,ACM SIGMOD Record
104,"Surajit Chaudhuri, Kyuseok Shim",1999,Optimization of queries with user-defined predicates,ACM Transactions on Database Systems (TODS)
105,"Luis Gravano, H&#233;ctor Garc&#237;a-Molina, Anthony Tomasic",1999,GlOSS: text-source discovery over the Internet,ACM Transactions on Database Systems (TODS)
106,"Mark Levene, George Loizou",1999,Database design for incomplete relations,ACM Transactions on Database Systems (TODS)
107,Jef Wijsen,1999,Temporal FDs on complex objects,ACM Transactions on Database Systems (TODS)
108,"Tolga Bozkaya, Meral Ozsoyoglu",1999,Indexing large metric spaces for similarity search queries,ACM Transactions on Database Systems (TODS)
109,"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",1999,Specification and implementation of exceptions in workflow management systems,ACM Transactions on Database Systems (TODS)
110,"G&#237;sli R. Hjaltason, Hanan Samet",1999,Distance browsing in spatial databases,ACM Transactions on Database Systems (TODS)
111,Suad Alag&#237;c,1999,Type-checking OQL queries in the ODMG type systems,ACM Transactions on Database Systems (TODS)
112,David Ritter,1998,The middleware muddle,ACM SIGMOD Record
113,"Phil Bernstein, Michael Brodie, Stefano Ceri, David DeWitt, Mike Franklin, Hector Garcia-Molina, Jim Gray, Jerry Held, Joe Hellerstein, H. V. Jagadish, Michael Lesk, Dave Maier, Jeff Naughton, Hamid Pirahesh, Mike Stonebraker, Jeff Ullman",1998,The Asilomar report on database research,ACM SIGMOD Record
114,"Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann",1998,Electronic market: the roadmap for university libraries and members to survive in the information jungle,ACM SIGMOD Record
115,"Josep Domingo-Ferrer, Jordi Herrera-Joancomart&#237;",1998,An anonymous electronic commerce scheme with an off-line authority and untrusted agents,ACM SIGMOD Record
116,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",1999,Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,ACM SIGMOD Record
117,D. Scott Mackay,1999,Semantic integration of environmental models for application to global information systems and decision-making,ACM SIGMOD Record
118,"A. M. Ouksel, A. Sheth",1999,Semantic interoperability in global information systems,ACM SIGMOD Record
119,"Andrew Eisenberg, Jim Melton",1998,"SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)",ACM SIGMOD Record
120,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",1999,Dynamic service matchmaking among agents in open information environments,ACM SIGMOD Record
121,"M. P. Papazoglou, J. Hoppenbrouwers",1999,Contextualizing the information space in federated digital libraries,ACM SIGMOD Record
122,Arun Hampapur,1999,Semantic video indexing: approach and issues,ACM SIGMOD Record
123,"Ken Smith, Leo Obrst",1999,Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,ACM SIGMOD Record
124,"Mario A. Nascimento, Claudia Bauzer Medeiros",1999,Report on the 13th Brazilian symposium on database systems (SBBD'98),ACM SIGMOD Record
125,Avigdor Gal,1999,Semantic interoperability in information services: experiencing with CoopWARE,ACM SIGMOD Record
126,"Jerry Fowler, Brad Perry, Marian Nodine, Bruce Bargmeyer",1999,Agent-based semantic interoperability in infosleuth,ACM SIGMOD Record
127,"S. Bergamaschi, S. Castano, M. Vincini",1999,Semantic integration of semistructured and structured data sources,ACM SIGMOD Record
128,Robert S. Epstein,1995,Keynote Address,International Conference on Management of Data
129,Larry J. Ellison,1995,Keynote address,International Conference on Management of Data
130,"Zahir Tari, John Stokes, Stefano Spaccapietra",1997,Object normal forms and dependency constraints for object-oriented schemata,ACM Transactions on Database Systems (TODS)
131,"Veda C. Storey, Roger H. L. Chiang, Debabrata Dey, Robert C. Goldstein, Shankar Sudaresan",1997,Database design with common sense business reasoning and learning,ACM Transactions on Database Systems (TODS)
132,"Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao",1998,Inverted files versus signature files for text indexing,ACM Transactions on Database Systems (TODS)
133,"Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz",1998,Ensuring consistency in multidatabases by preserving two-level serializability,ACM Transactions on Database Systems (TODS)
134,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",1998,Towards a theory of cost management for digital libraries and electronic commerce,ACM Transactions on Database Systems (TODS)
135,"David Konopnicki, Oded Shmueli",1998,Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,ACM Transactions on Database Systems (TODS)
136,"Jing Chen, Limsoon Wong, Louxin Zhang",1998,A protein patent query system powered by Kleisli,International Conference on Management of Data
137,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",1998,DTL's DataSpot: database exploration as easy as browsing the Web...,International Conference on Management of Data
138,"Xiangning Liu, Abdelsalam Helal, Weimin Du",1998,Multiview access protocols for large-scale replication,ACM Transactions on Database Systems (TODS)
139,Joseph M. Hellerstein,1998,Optimization techniques for queries with expensive methods,ACM Transactions on Database Systems (TODS)
140,"Osmar R. Za&#239;ane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",1998,MultiMediaMiner: a system prototype for multimedia data mining,International Conference on Management of Data
141,"Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha",1998,Xmas: an extensible main-memory storage system for high-performance applications,International Conference on Management of Data
142,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",1998,The IDEA Web lab,International Conference on Management of Data
143,Motomichi Toyama,1998,SuperSQL: an extended SQL for database publishing and presentation,International Conference on Management of Data
144,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",1998,CONTROL: continuous output and navigation technology with refinement on-line,International Conference on Management of Data
145,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",1998,AMDB: an access method debugging tool,International Conference on Management of Data
146,"Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar",1998,User-oriented smart-cache for the Web: what you seek is what you get!,International Conference on Management of Data
147,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",1998,The multidimensional database system RasDaMan,International Conference on Management of Data
148,"Bartek Kiepuszewski, Ralf Muhlberger, Maria E. Orlowska",1998,FlowBack: providing backward recovery for workflow management systems,International Conference on Management of Data
149,William W. Cohen,1998,Providing database-like access to the Web using queries based on textual similarity,International Conference on Management of Data
150,"Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada",1998,Ariadne: a system for constructing mediators for Internet sources,International Conference on Management of Data
151,"Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti",1998,Capability based mediation in TSIMMIS,International Conference on Management of Data
152,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",1998,The Araneus Web-based management system,International Conference on Management of Data
153,"Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu",1998,CQ: a personalized update monitoring toolkit,International Conference on Management of Data
154,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",1998,DataSplash,International Conference on Management of Data
155,"Surajit Chaudhuri, Vivek Narasayya",1998,Microsoft index turning wizard for SQL Server 7.0,International Conference on Management of Data
156,Edwin R. Lassettre,1998,Olympic records for data at the 1998 Nagano games,International Conference on Management of Data
157,Eric A. Brewer,1998,Delivering high availability for Inktomi search engines,International Conference on Management of Data
158,Sherri Kennamer,1998,Microsoft.com: a high-scale data management and transaction processing solution,International Conference on Management of Data
159,"Bin Li, Dennis Shasha",1998,Free parallel data mining,International Conference on Management of Data
160,James Chong,1998,Real business processing meets the Web,International Conference on Management of Data
161,"John Nauman, Ray Suorsa",1998,"Developing a high traffic, read-only Web site",International Conference on Management of Data
162,Daniel S. Whelan,1998,FileNet integrated document management database usage and issues,International Conference on Management of Data
163,Kamar Aulakh,1998,About Quark Digital Media System,International Conference on Management of Data
164,"Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee",1998,"50,000 users on an Oracle8 universal server database",International Conference on Management of Data
165,"Richard Anderson, Gopalan Arun, Richard Frank",1998,Oracle Rdb's record caching model,International Conference on Management of Data
166,"KianSing Ng, Huan Liu, HweeBong Kwah",1998,A data mining application: customer retention at the Port of Singapore Authority (PSA),International Conference on Management of Data
167,Arvola Chan,1998,Transactional publish/subscribe: the proactive multicast of database changes (abstract),International Conference on Management of Data
168,"Satish Ramakrishnan, Vibha Dayal",1998,The PointCast network (abstract),International Conference on Management of Data
169,"Michael Franklin, Stan Zdonik",1998,Data in your face: push technology in perspective,International Conference on Management of Data
170,Peter Spiro,1998,"Ubiquitous, self-tuning, scalable servers",International Conference on Management of Data
171,C. Gregory Doherty,1998,Database systems management and Oracle8,International Conference on Management of Data
172,Chris Eaton,1998,Managing large systems with DB2 UDB,International Conference on Management of Data
173,"Berthold Reinwald, Hamid Pirahesh",1998,SQL open heterogeneous data access,International Conference on Management of Data
174,"Seth White, Rick Cattell, Shel Finkelstein",1998,Enterprise Java platform data access,International Conference on Management of Data
175,"Jos&#233; A. Blakeley, Michael J. Pizzo",1998,Microsoft universal data access platform,International Conference on Management of Data
176,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",1998,Java and relational databases (tutorial): SQLJ,International Conference on Management of Data
177,"Stefan Berchtold, Daniel A. Keim",1998,High-dimensional index structures database support for next decade's applications (tutorial),International Conference on Management of Data
178,"Nabil R. Adam, Yelena Yesha",1998,Electronic commerce: tutorial,International Conference on Management of Data
179,"Alfons Kemper, Donald Kossmann, Florian Matthes",1998,SAP R/3 (tutorial): a database application system,International Conference on Management of Data
180,Michael Stonebraker,1998,Are we working on the right problems? (panel),International Conference on Management of Data
181,John Mylopoulos,1998,Next generation database systems won't work without semantics! (panel),International Conference on Management of Data
182,"Per-&#197;ke Larson, Goetz Graefe",1998,Memory management during run generation in external sorting,International Conference on Management of Data
183,"Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool",1998,"Replication, consistency, and practicality: are these mutually exclusive?",International Conference on Management of Data
184,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",1998,Wavelet-based histograms for selectivity estimation,International Conference on Management of Data
185,"David Lomet, Gerhard Weikum",1998,Efficient transparent application recovery in client-server information systems,International Conference on Management of Data
186,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",1998,Approximate medians and other quantiles in one pass and with limited memory,International Conference on Management of Data
187,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",1998,Random sampling for histogram construction: how much is enough?,International Conference on Management of Data
188,"S. Adali, P. Bonatti, M. L. Sapino, V. S. Subrahmanian",1998,A multi-similarity algebra,International Conference on Management of Data
189,"Mary Fern&#225;ndez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",1998,Catching the boat with Strudel: experiences with a Web-site management system,International Conference on Management of Data
190,"Michael Jaedicke, Bernhard Mitschang",1998,On parallel processing of aggregate and scalar functions in object-relational DBMS,International Conference on Management of Data
191,"Michael Godfrey, Tobias Mayr, Praveen Seshadri, Thorsten von Eicken",1998,Secure and portable database extensibility,International Conference on Management of Data
192,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",1999,On random sampling over joins,International Conference on Management of Data
193,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",1999,Random sampling techniques for space efficient online computation of order statistics of large datasets,International Conference on Management of Data
194,"Peter J. Haas, Joseph M. Hellerstein",1999,Ripple joins for online aggregation,International Conference on Management of Data
195,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",1999,Join synopses for approximate query answering,International Conference on Management of Data
196,"Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu",1999,Query optimization in the presence of limited access patterns,International Conference on Management of Data
197,"Zachary G. Ives, Daniela Florescu, Marc Friedman, Alon Levy, Daniel S. Weld",1999,An adaptive query execution system for data integration,International Conference on Management of Data
198,"Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina",1999,Mind your vocabulary: query mapping across heterogeneous information sources,International Conference on Management of Data
199,"Arunprasad P. Marathe, Kenneth Salem",1999,Query processing techniques for arrays,International Conference on Management of Data
200,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan, Wei-Yin Loh",1999,BOAT-optimistic decision tree construction,International Conference on Management of Data
201,"Laks V. S. Lakshmanan, Raymond Ng, Jiawei Han, Alex Pang",1999,Optimization of constrained frequent set queries with 2-variable constraints,International Conference on Management of Data
202,"Jeffrey Scott Vitter, Min Wang",1999,Approximate computation of multidimensional aggregates of sparse data using wavelets,International Conference on Management of Data
203,"Ashraf Aboulnaga, Surajit Chaudhuri",1999,Self-tuning histograms: building histograms without looking at data,International Conference on Management of Data
204,"Chee-Yong Chan, Yannis E. Ioannidis",1999,An efficient bitmap encoding scheme for selection queries,International Conference on Management of Data
205,"Ju-Hong Lee, Deok-Hwan Kim, Chin-Wan Chung",1999,Multi-dimensional selectivity estimation using compressed histogram information,International Conference on Management of Data
206,"Bj&#246;rn Blohsfeld, Dieter Korus, Bernhard Seeger",1999,A comparison of selectivity estimators for range queries on metric attributes,International Conference on Management of Data
207,Ming-Chuan Wu,1999,Query optimization for selections using bitmaps,International Conference on Management of Data
